Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_Sec,Flow_Packets_Sec,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_Sec,Bwd_Packets_Sec,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
80,3215131,6,1,774,0,387,0,129.0,199.8459407,0,0,0.0,0.0,240.7366916,2.177205221,535855.1667,817750.9222,2000265.0,11.0,2201094.0,440218.8,875955.6803,2000265.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,40.0,1.866175904,0.311029317,0.0,387.0,96.75,179.1461893,32093.35714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.5714286,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,774.0,1.0,0.0,-1.0,29200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
55895,47,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,129260.0,189855.0,47.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,21276.59574,21276.59574,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,6.0,335.0,258.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80,1376031,4,1,304,0,304,0,76.0,152.0,0,0,0.0,0.0,220.92525530000003,3.633639068,344007.75,670753.264,1350133.0,6824.0,1364550.0,454850.0,775337.9169,1350133.0,6824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,40.0,2.906911254,0.7267278140000001,0.0,304.0,50.66666667,124.1074803,15402.66667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,304.0,1.0,0.0,-1.0,29200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
123,67094672,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,100959.0,5720.0,22364890.67,38573694.96,66905957.0,94091.0,67000048.0,67000048.0,0.0,67000048.0,67000048.0,67000581.0,67000581.0,0.0,67000581.0,67000581.0,0.0,0.0,0.0,0.0,40.0,40.0,0.029808626,0.029808626,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,96.0,2.0,96.0,-1.0,-1.0,1.0,20.0,94091.0,0.0,94091.0,94091.0,66905957.0,0.0,66905957.0,66905957.0,BENIGN
80,1214198,8,1,316,0,316,0,39.5,111.72287140000002,0,0,0.0,0.0,260.2540936,7.412300136,151774.75,354335.734,1012222.0,2.0,201976.0,28853.71429,73869.4227,196332.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,40.0,6.5887112320000005,0.8235889040000001,0.0,316.0,31.6,99.92797406,9985.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.11111111,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,316.0,1.0,0.0,-1.0,29200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
53,50953,2,2,78,160,39,39,39.0,0.0,80,80,80.0,0.0,212525.0,228779.0,16984.33333,29373.56959,50902.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,40.0,39.25185956,39.25185956,39.0,80.0,55.4,22.45662486,504.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.25,39.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,2.0,160.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
33562,26,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,2.0,227734.0,26.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,38461.53846,38461.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8044.0,364.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80,172666,5,1,330,0,330,0,66.0,147.5804865,0,0,0.0,0.0,1911.20429,34.74916892,34533.2,64392.41159,149503.0,3.0,164659.0,41164.75,72355.56087999999,149503.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,40.0,28.95764076,5.791528153,0.0,330.0,47.14285714,124.7282761,15557.14286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,330.0,1.0,0.0,-1.0,29200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
80,1193712,6,1,408,0,408,0,68.0,166.5653025,0,0,0.0,0.0,341.7909848000001,5.864061013,198952.0,402072.6107,1008437.0,2.0,185275.0,37055.0,74149.78635,169297.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,40.0,5.026338011,0.837723002,0.0,408.0,51.0,144.2497834,20808.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.28571429,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,408.0,1.0,0.0,-1.0,29200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk
80,51438737,14,1,672,0,340,0,48.0,122.0239573,0,0,0.0,0.0,13.06408437,0.291609026,3674195.5,10500000.0,38000000.0,2.0,51400000.0,3956824.846,10800000.0,38000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,20.0,0.272168424,0.019440602,0.0,340.0,42.0,114.7751425,13173.33333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,672.0,1.0,0.0,-1.0,0.0,2.0,0.0,168053.0,236999.5656,335637.0,469.0,25400000.0,17800000.0,38000000.0,12800000.0,DoS Hulk
